email_address,phone,country,invoice_total
  ada.lovelace0@example.com ,+4400892903,GB,3461.51
grace.lovelace1@example.com,+73363894879,US,567.67
alan.lovelace2@example.com,+20480306579,DE,2664.3
edsger.lovelace3@example.com,+3810475166,FR,1904.22
barbara.lovelace4@example.com,+96361160997,NL,3029.68
  donald.lovelace5@example.com ,+12839222982,GB,1611.95
john.lovelace6@example.com,+91817898585,US,4476.83
tony.lovelace7@example.com,+57165311343,DE,2848.74
ada.hopper8@example.com,+23388313169,FR,2096.27
grace.hopper9@example.com,+4965249451,NL,1344.39
  alan.hopper10@example.com ,+84680032430,GB,4685.71
edsger.hopper11@example.com,+34740509411,US,1146.95
barbara.hopper12@example.com,+54148855868,DE,1779.12
donald.hopper13@example.com,+66398354907,FR,3659.26
john.hopper14@example.com,+93985853730,NL,2539.75
  tony.hopper15@example.com ,+38256857336,GB,4930.93
ada.turing16@example.com,+87183677280,US,3590.14
grace.turing17@example.com,+41901648476,DE,732.59
alan.turing18@example.com,+5476701903,FR,1694.86
edsger.turing19@example.com,+12131360430,NL,2586.88
  barbara.turing20@example.com ,+81389012278,GB,4362.78
donald.turing21@example.com,+29622602326,US,4767.17
john.turing22@example.com,+72234963386,DE,1983.53
tony.turing23@example.com,+83651880781,FR,3950.79
ada.dijkstra24@example.com,+13647816217,NL,4041.65
  grace.dijkstra25@example.com ,+77816383473,GB,4147.51
alan.dijkstra26@example.com,+48758386284,US,3219.97
edsger.dijkstra27@example.com,+3128861627,DE,1832.92
barbara.dijkstra28@example.com,+35515912441,FR,4364.09
donald.dijkstra29@example.com,+20265266533,NL,4367.9
  john.dijkstra30@example.com ,+24487638184,GB,2355.56
tony.dijkstra31@example.com,+16636906706,US,331.58
ada.liskov32@example.com,+9995286442,DE,4510.8
grace.liskov33@example.com,+24117097581,FR,1499.65
alan.liskov34@example.com,+23151145072,NL,4569.08
  edsger.liskov35@example.com ,+75303335589,GB,2970.91
barbara.liskov36@example.com,+45229581499,US,1598.21
donald.liskov37@example.com,+66481774572,DE,1365.13
john.liskov38@example.com,+96664658877,FR,1302.0
tony.liskov39@example.com,+78621435611,NL,526.58
  ada.knuth40@example.com ,+35146995737,GB,4234.24
grace.knuth41@example.com,+62156616193,US,2388.59
alan.knuth42@example.com,+11462129629,DE,16.66
edsger.knuth43@example.com,+39185147393,FR,2966.82
barbara.knuth44@example.com,+76694747901,NL,4777.58
  donald.knuth45@example.com ,+97944405928,GB,1432.77
john.knuth46@example.com,+43571206149,US,562.85
tony.knuth47@example.com,+26741913689,DE,4043.09
ada.backus48@example.com,+3181182406,FR,4506.66
grace.backus49@example.com,+10531086102,NL,3745.28
  alan.backus50@example.com ,+93538522994,GB,3842.97
edsger.backus51@example.com,+90872130162,US,3036.08
barbara.backus52@example.com,+68958056700,DE,1427.09
donald.backus53@example.com,+11716445032,FR,4394.21
john.backus54@example.com,+46187201214,NL,652.57
  tony.backus55@example.com ,+53533195124,GB,612.74
ada.hoare56@example.com,+91713780626,US,3312.25
grace.hoare57@example.com,+12344611144,DE,1767.66
alan.hoare58@example.com,+70180879164,FR,4236.54
edsger.hoare59@example.com,+25574793896,NL,1509.53
  barbara.hoare60@example.com ,+88353982840,GB,4759.94
donald.hoare61@example.com,+24561142258,US,4476.92
john.hoare62@example.com,+56334024507,DE,447.37
tony.hoare63@example.com,+78984303743,FR,1962.75
ada.lovelace64@example.com,+85643693713,NL,2037.39
  grace.lovelace65@example.com ,+94637621270,GB,2485.4
alan.lovelace66@example.com,+30753598973,US,2599.89
edsger.lovelace67@example.com,+70126663516,DE,3484.31
barbara.lovelace68@example.com,+88206430269,FR,2360.87
donald.lovelace69@example.com,+70759697233,NL,3143.18
  john.lovelace70@example.com ,+26427619307,GB,2202.97
tony.lovelace71@example.com,+30457122750,US,3291.86
ada.hopper72@example.com,+69894898143,DE,633.26
grace.hopper73@example.com,+91176044172,FR,781.63
alan.hopper74@example.com,+2397371266,NL,4946.95
  edsger.hopper75@example.com ,+40129550146,GB,2088.69
barbara.hopper76@example.com,+27206416885,US,4494.2
donald.hopper77@example.com,+52938113167,DE,3896.29
john.hopper78@example.com,+20240204639,FR,2821.08
tony.hopper79@example.com,+36858670087,NL,162.35
  ada.turing80@example.com ,+15852788157,GB,2595.14
grace.turing81@example.com,+73475487391,US,29.7
alan.turing82@example.com,+76992861343,DE,3608.71
edsger.turing83@example.com,+50966557845,FR,1393.66
barbara.turing84@example.com,+48887330123,NL,2782.91
  donald.turing85@example.com ,+37816257133,GB,3051.96
john.turing86@example.com,+30807780793,US,2831.58
tony.turing87@example.com,+12301334600,DE,1610.13
ada.dijkstra88@example.com,+41214018479,FR,4704.01
grace.dijkstra89@example.com,+68791821795,NL,4760.59
  alan.dijkstra90@example.com ,+59138226482,GB,4689.97
edsger.dijkstra91@example.com,+66383074408,US,3847.06
barbara.dijkstra92@example.com,+71558620512,DE,3554.69
donald.dijkstra93@example.com,+81475380963,FR,432.22
