customer_email,full_name,signup_country
ADA.LOVELACE0@EXAMPLE.COM,Ada Lovelace,GB
grace.lovelace1@example.com,Grace Lovelace,US
alan.lovelace2@example.com,Alan Lovelace,DE
edsger.lovelace3@example.com,Edsger Lovelace,FR
barbara.lovelace4@example.com,Barbara Lovelace,NL
donald.lovelace5@example.com,Donald Lovelace,GB
john.lovelace6@example.com,John Lovelace,US
TONY.LOVELACE7@EXAMPLE.COM,Tony Lovelace,DE
ada.hopper8@example.com,Ada Hopper,FR
grace.hopper9@example.com,Grace Hopper,NL
alan.hopper10@example.com,Alan Hopper,GB
edsger.hopper11@example.com,Edsger Hopper,US
barbara.hopper12@example.com,Barbara Hopper,DE
donald.hopper13@example.com,Donald Hopper,FR
JOHN.HOPPER14@EXAMPLE.COM,John Hopper,NL
tony.hopper15@example.com,Tony Hopper,GB
ada.turing16@example.com,Ada Turing,US
grace.turing17@example.com,Grace Turing,DE
alan.turing18@example.com,Alan Turing,FR
edsger.turing19@example.com,Edsger Turing,NL
barbara.turing20@example.com,Barbara Turing,GB
DONALD.TURING21@EXAMPLE.COM,Donald Turing,US
john.turing22@example.com,John Turing,DE
tony.turing23@example.com,Tony Turing,FR
ada.dijkstra24@example.com,Ada Dijkstra,NL
grace.dijkstra25@example.com,Grace Dijkstra,GB
alan.dijkstra26@example.com,Alan Dijkstra,US
edsger.dijkstra27@example.com,Edsger Dijkstra,DE
BARBARA.DIJKSTRA28@EXAMPLE.COM,Barbara Dijkstra,FR
donald.dijkstra29@example.com,Donald Dijkstra,NL
john.dijkstra30@example.com,John Dijkstra,GB
tony.dijkstra31@example.com,Tony Dijkstra,US
ada.liskov32@example.com,Ada Liskov,DE
grace.liskov33@example.com,Grace Liskov,FR
alan.liskov34@example.com,Alan Liskov,NL
EDSGER.LISKOV35@EXAMPLE.COM,Edsger Liskov,GB
barbara.liskov36@example.com,Barbara Liskov,US
donald.liskov37@example.com,Donald Liskov,DE
john.liskov38@example.com,John Liskov,FR
tony.liskov39@example.com,Tony Liskov,NL
ada.knuth40@example.com,Ada Knuth,GB
grace.knuth41@example.com,Grace Knuth,US
ALAN.KNUTH42@EXAMPLE.COM,Alan Knuth,DE
edsger.knuth43@example.com,Edsger Knuth,FR
barbara.knuth44@example.com,Barbara Knuth,NL
donald.knuth45@example.com,Donald Knuth,GB
john.knuth46@example.com,John Knuth,US
tony.knuth47@example.com,Tony Knuth,DE
ada.backus48@example.com,Ada Backus,FR
GRACE.BACKUS49@EXAMPLE.COM,Grace Backus,NL
alan.backus50@example.com,Alan Backus,GB
edsger.backus51@example.com,Edsger Backus,US
barbara.backus52@example.com,Barbara Backus,DE
donald.backus53@example.com,Donald Backus,FR
john.backus54@example.com,John Backus,NL
tony.backus55@example.com,Tony Backus,GB
ADA.HOARE56@EXAMPLE.COM,Ada Hoare,US
grace.hoare57@example.com,Grace Hoare,DE
alan.hoare58@example.com,Alan Hoare,FR
edsger.hoare59@example.com,Edsger Hoare,NL
barbara.hoare60@example.com,Barbara Hoare,GB
donald.hoare61@example.com,Donald Hoare,US
john.hoare62@example.com,John Hoare,DE
TONY.HOARE63@EXAMPLE.COM,Tony Hoare,FR
ada.lovelace64@example.com,Ada Lovelace,NL
grace.lovelace65@example.com,Grace Lovelace,GB
alan.lovelace66@example.com,Alan Lovelace,US
edsger.lovelace67@example.com,Edsger Lovelace,DE
barbara.lovelace68@example.com,Barbara Lovelace,FR
donald.lovelace69@example.com,Donald Lovelace,NL
JOHN.LOVELACE70@EXAMPLE.COM,John Lovelace,GB
tony.lovelace71@example.com,Tony Lovelace,US
ada.hopper72@example.com,Ada Hopper,DE
grace.hopper73@example.com,Grace Hopper,FR
alan.hopper74@example.com,Alan Hopper,NL
edsger.hopper75@example.com,Edsger Hopper,GB
barbara.hopper76@example.com,Barbara Hopper,US
DONALD.HOPPER77@EXAMPLE.COM,Donald Hopper,DE
john.hopper78@example.com,John Hopper,FR
tony.hopper79@example.com,Tony Hopper,NL
ada.turing80@example.com,Ada Turing,GB
grace.turing81@example.com,Grace Turing,US
alan.turing82@example.com,Alan Turing,DE
edsger.turing83@example.com,Edsger Turing,FR
BARBARA.TURING84@EXAMPLE.COM,Barbara Turing,NL
donald.turing85@example.com,Donald Turing,GB
john.turing86@example.com,John Turing,US
tony.turing87@example.com,Tony Turing,DE
ada.dijkstra88@example.com,Ada Dijkstra,FR
grace.dijkstra89@example.com,Grace Dijkstra,NL
alan.dijkstra90@example.com,Alan Dijkstra,GB
EDSGER.DIJKSTRA91@EXAMPLE.COM,Edsger Dijkstra,US
barbara.dijkstra92@example.com,Barbara Dijkstra,DE
donald.dijkstra93@example.com,Donald Dijkstra,FR
john.dijkstra94@example.com,John Dijkstra,NL
tony.dijkstra95@example.com,Tony Dijkstra,GB
ada.liskov96@example.com,Ada Liskov,US
grace.liskov97@example.com,Grace Liskov,DE
ALAN.LISKOV98@EXAMPLE.COM,Alan Liskov,FR
edsger.liskov99@example.com,Edsger Liskov,NL
barbara.liskov100@example.com,Barbara Liskov,GB
donald.liskov101@example.com,Donald Liskov,US
john.liskov102@example.com,John Liskov,DE
tony.liskov103@example.com,Tony Liskov,FR
ada.knuth104@example.com,Ada Knuth,NL
GRACE.KNUTH105@EXAMPLE.COM,Grace Knuth,GB
alan.knuth106@example.com,Alan Knuth,US
edsger.knuth107@example.com,Edsger Knuth,DE
barbara.knuth108@example.com,Barbara Knuth,FR
donald.knuth109@example.com,Donald Knuth,NL
john.knuth110@example.com,John Knuth,GB
tony.knuth111@example.com,Tony Knuth,US
ADA.BACKUS112@EXAMPLE.COM,Ada Backus,DE
grace.backus113@example.com,Grace Backus,FR
alan.backus114@example.com,Alan Backus,NL
edsger.backus115@example.com,Edsger Backus,GB
barbara.backus116@example.com,Barbara Backus,US
donald.backus117@example.com,Donald Backus,DE
john.backus118@example.com,John Backus,FR
TONY.BACKUS119@EXAMPLE.COM,Tony Backus,NL
ada.hoare120@example.com,Ada Hoare,GB
grace.hoare121@example.com,Grace Hoare,US
alan.hoare122@example.com,Alan Hoare,DE
edsger.hoare123@example.com,Edsger Hoare,FR
barbara.hoare124@example.com,Barbara Hoare,NL
donald.hoare125@example.com,Donald Hoare,GB
JOHN.HOARE126@EXAMPLE.COM,John Hoare,US
tony.hoare127@example.com,Tony Hoare,DE
ada.lovelace128@example.com,Ada Lovelace,FR
grace.lovelace129@example.com,Grace Lovelace,NL
alan.lovelace130@example.com,Alan Lovelace,GB
edsger.lovelace131@example.com,Edsger Lovelace,US
barbara.lovelace132@example.com,Barbara Lovelace,DE
DONALD.LOVELACE133@EXAMPLE.COM,Donald Lovelace,FR
john.lovelace134@example.com,John Lovelace,NL
tony.lovelace135@example.com,Tony Lovelace,GB
ada.hopper136@example.com,Ada Hopper,US
grace.hopper137@example.com,Grace Hopper,DE
alan.hopper138@example.com,Alan Hopper,FR
edsger.hopper139@example.com,Edsger Hopper,NL
BARBARA.HOPPER140@EXAMPLE.COM,Barbara Hopper,GB
donald.hopper141@example.com,Donald Hopper,US
john.hopper142@example.com,John Hopper,DE
tony.hopper143@example.com,Tony Hopper,FR
ada.turing144@example.com,Ada Turing,NL
grace.turing145@example.com,Grace Turing,GB
alan.turing146@example.com,Alan Turing,US
EDSGER.TURING147@EXAMPLE.COM,Edsger Turing,DE
barbara.turing148@example.com,Barbara Turing,FR
donald.turing149@example.com,Donald Turing,NL
